id,type,lat,lon
3003497925,bureau_de_change,41.9969234,21.4383163,Менувачница
4250231589,bureau_de_change,41.9869314,21.4308515,Менувачница
4274196794,bureau_de_change,41.9929669,21.4411380,Менувачница
4274264489,bureau_de_change,41.9910228,21.4455539,Менувачница
5017093623,bureau_de_change,41.9963142,21.4274642,Менувачница
5723785794,bureau_de_change,41.9998074,21.4361306,Менувачница
6814246714,bureau_de_change,42.0024104,21.4390768,Менувачница
6815931387,bureau_de_change,42.0026617,21.4388933,Менувачница
6834305904,bureau_de_change,41.9956903,21.4275526,Менувачница
